"subjectID" "activity" "mean(means)"
"1" 1 "laying" -0.607522391836014
"2" 1 "sitting" -0.633405230612481
"3" 1 "standing" -0.647424789141436
"4" 1 "walking" -0.319105810200331
"5" 1 "walking_downstairs" -0.297226292824001
"6" 1 "walking_upstairs" -0.40699661814598
"7" 2 "laying" -0.639973837827844
"8" 2 "sitting" -0.640597914078914
"9" 2 "standing" -0.636454993012462
"10" 2 "walking" -0.385708093716054
"11" 2 "walking_downstairs" -0.259677293061387
"12" 2 "walking_upstairs" -0.363983305102955
"13" 3 "laying" -0.641445804875381
"14" 3 "sitting" -0.622780836987975
"15" 3 "standing" -0.626824657789309
"16" 3 "walking" -0.386865862874514
"17" 3 "walking_downstairs" -0.350536138554404
"18" 3 "walking_upstairs" -0.424274671811149
"19" 4 "laying" -0.630875080725603
"20" 4 "sitting" -0.627074988752137
"21" 4 "standing" -0.618583772157932
"22" 4 "walking" -0.43055661483918
"23" 4 "walking_downstairs" -0.363790441016887
"24" 4 "walking_upstairs" -0.415260374462441
"25" 5 "laying" -0.631793505517319
"26" 5 "sitting" -0.627014833570021
"27" 5 "standing" -0.618821537531601
"28" 5 "walking" -0.378535121986988
"29" 5 "walking_downstairs" -0.296901580091929
"30" 5 "walking_upstairs" -0.356353464901252
"31" 6 "laying" -0.619421431071453
"32" 6 "sitting" -0.625412957710496
"33" 6 "standing" -0.629253160586122
"34" 6 "walking" -0.337513362522582
"35" 6 "walking_downstairs" -0.198922424840441
"36" 6 "walking_upstairs" -0.330642340129316
"37" 7 "laying" -0.628303269447471
"38" 7 "sitting" -0.628833138374792
"39" 7 "standing" -0.63369010626409
"40" 7 "walking" -0.306764482858546
"41" 7 "walking_downstairs" -0.317129508211319
"42" 7 "walking_upstairs" -0.427408293255387
"43" 8 "laying" -0.627089533537997
"44" 8 "sitting" -0.637726458982249
"45" 8 "standing" -0.639463722621354
"46" 8 "walking" -0.299755499867352
"47" 8 "walking_downstairs" -0.19351985419359
"48" 8 "walking_upstairs" -0.293377815632218
"49" 9 "laying" -0.628414047268328
"50" 9 "sitting" -0.627530823653232
"51" 9 "standing" -0.633713631013694
"52" 9 "walking" -0.37164660578822
"53" 9 "walking_downstairs" -0.313140747277053
"54" 9 "walking_upstairs" -0.427075431896002
"55" 10 "laying" -0.633606314208568
"56" 10 "sitting" -0.640078551091241
"57" 10 "standing" -0.630886542166037
"58" 10 "walking" -0.327086776127028
"59" 10 "walking_downstairs" -0.263162073365728
"60" 10 "walking_upstairs" -0.345652600356602
"61" 11 "laying" -0.643553031373099
"62" 11 "sitting" -0.636081608692102
"63" 11 "standing" -0.648374467923916
"64" 11 "walking" -0.431366510871248
"65" 11 "walking_downstairs" -0.348717448293558
"66" 11 "walking_upstairs" -0.43527506672087
"67" 12 "laying" -0.63012919397725
"68" 12 "sitting" -0.636301750626951
"69" 12 "standing" -0.627684013763497
"70" 12 "walking" -0.355560155447154
"71" 12 "walking_downstairs" -0.311490436338625
"72" 12 "walking_upstairs" -0.42179157558609
"73" 13 "laying" -0.624337936876007
"74" 13 "sitting" -0.638179130162868
"75" 13 "standing" -0.639297749080434
"76" 13 "walking" -0.316988827925179
"77" 13 "walking_downstairs" -0.317234723087439
"78" 13 "walking_upstairs" -0.411582073864772
"79" 14 "laying" -0.628355645282404
"80" 14 "sitting" -0.639930771868791
"81" 14 "standing" -0.633771114374627
"82" 14 "walking" -0.385501824502105
"83" 14 "walking_downstairs" -0.203378373864087
"84" 14 "walking_upstairs" -0.285486358859423
"85" 15 "laying" -0.639883147448173
"86" 15 "sitting" -0.641496217339585
"87" 15 "standing" -0.640037091389994
"88" 15 "walking" -0.390526282476396
"89" 15 "walking_downstairs" -0.280227328116279
"90" 15 "walking_upstairs" -0.393720911542089
"91" 16 "laying" -0.635906117499551
"92" 16 "sitting" -0.642254023210701
"93" 16 "standing" -0.646538416475197
"94" 16 "walking" -0.431362808379042
"95" 16 "walking_downstairs" -0.339080301791712
"96" 16 "walking_upstairs" -0.440146451770759
"97" 17 "laying" -0.629876420657766
"98" 17 "sitting" -0.643707360983648
"99" 17 "standing" -0.644675070329398
"100" 17 "walking" -0.387039462708526
"101" 17 "walking_downstairs" -0.365194496888334
"102" 17 "walking_upstairs" -0.401431355861112
"103" 18 "laying" -0.645039855011435
"104" 18 "sitting" -0.650240242162375
"105" 18 "standing" -0.645518459042212
"106" 18 "walking" -0.436306077297177
"107" 18 "walking_downstairs" -0.438663811185222
"108" 18 "walking_upstairs" -0.470681472754459
"109" 19 "laying" -0.632999218754884
"110" 19 "sitting" -0.638986666530727
"111" 19 "standing" -0.640136697217531
"112" 19 "walking" -0.238252786596887
"113" 19 "walking_downstairs" -0.078306398113335
"114" 19 "walking_upstairs" -0.316821118319495
"115" 20 "laying" -0.644397438696908
"116" 20 "sitting" -0.639872725383092
"117" 20 "standing" -0.620027732157146
"118" 20 "walking" -0.259518117088663
"119" 20 "walking_downstairs" -0.247169665420288
"120" 20 "walking_upstairs" -0.338291941451443
"121" 21 "laying" -0.63110876443376
"122" 21 "sitting" -0.644724493205524
"123" 21 "standing" -0.638450214241584
"124" 21 "walking" -0.330648706245588
"125" 21 "walking_downstairs" -0.291301975673511
"126" 21 "walking_upstairs" -0.381967006088137
"127" 22 "laying" -0.632109081483277
"128" 22 "sitting" -0.634015600138589
"129" 22 "standing" -0.635992094486953
"130" 22 "walking" -0.274200987116311
"131" 22 "walking_downstairs" -0.287664837258693
"132" 22 "walking_upstairs" -0.305185521541175
"133" 23 "laying" -0.628089473591726
"134" 23 "sitting" -0.632843540612456
"135" 23 "standing" -0.637024168810267
"136" 23 "walking" -0.265296718829829
"137" 23 "walking_downstairs" -0.20246554081645
"138" 23 "walking_upstairs" -0.369581312588007
"139" 24 "laying" -0.634203387560794
"140" 24 "sitting" -0.646619496620551
"141" 24 "standing" -0.634194893841734
"142" 24 "walking" -0.416975175176002
"143" 24 "walking_downstairs" -0.359085991984149
